TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS
3/15/2024,25.6,33.9,28.8,71,0,8.3
3/16/2024,25,32.6,28.8,74,0,5.5
3/17/2024,25,32,28.3,74,0,7.5
3/18/2024,25,33.5,28.7,74,0,3.6
3/19/2024,23.2,31.8,28.2,75,35.1,6.6
3/20/2024,23.7,32,28.5,78,8888,2.3
3/21/2024,24.7,31.4,27.7,76,8888,4.2
3/22/2024,24.7,29.6,26.8,84,2.5,1.1
3/23/2024,24.3,31.9,28.5,78,0.3,2.6
3/24/2024,25,33.4,29.3,70,0,6.4
3/25/2024,25.2,33.9,29.4,72,0,9.5
3/26/2024,26,32.4,29.5,74,0,9.9
3/27/2024,24.9,32.4,28.2,78,11.5,9.6
3/28/2024,24.9,28,26.1,88,14,6.5
3/29/2024,24.3,29.7,26.4,91,100.5,0
3/30/2024,24.4,32.1,28.7,78,2.3,2.3
3/31/2024,24.8,31.1,27.7,83,0,10
4/1/2024,25.8,30,27.2,85,8.4,4.4
4/2/2024,25,32.4,28.8,74,8888,1.4
4/3/2024,25.1,34,29.4,68,0,7.2
4/4/2024,25.5,34.8,29.6,65,0,9.1
4/5/2024,25.5,34.4,31.5,59,0,10.2
4/6/2024,25.6,35.2,29.9,68,,10.3
4/7/2024,26.6,34.8,29.7,70,0,9.4
4/8/2024,,34.5,28.4,77,0,8.1
4/9/2024,24.9,34.5,28.6,80,10.2,6.7
4/10/2024,25.1,33,29.3,67,2.1,3.5
4/11/2024,26.3,33.2,29.3,72,0,7.8
4/12/2024,25,32.6,29.1,74,0,6.1
4/13/2024,26.1,32.8,29.4,72,8888,7
4/14/2024,26.3,32.6,29.3,74,0,10.2
4/15/2024,26.4,32.1,29.3,74,0,10.3
4/16/2024,26.5,32.8,29.3,73,0,0
4/17/2024,25.1,33,29.8,72,0,6.2
4/18/2024,26.2,32.8,28.8,77,0,10.1
4/19/2024,26.5,33.6,29.9,69,8888,7.5
4/20/2024,26.3,32,29.1,77,8888,8
4/21/2024,26.4,33.8,29.3,76,0.8,5.9
4/22/2024,26.3,33.4,29.1,76,8888,7.8
4/23/2024,26.3,33.2,28.8,79,0,4.8
4/24/2024,25.5,29.4,26.7,91,7,8.1
4/25/2024,25.3,31.8,28.8,79,13.5,1
4/26/2024,25.8,33.6,29.1,80,0,7.9
4/27/2024,26.2,32.3,28.9,80,0.6,6
4/28/2024,25.7,32.7,28.9,79,19,6.9
4/29/2024,25.7,30.4,27.4,87,21.3,5.3
4/30/2024,25,31.9,29.1,78,,0.5
5/1/2024,26.7,33.3,29.9,74,0,9.6
5/2/2024,26,31.9,28.7,80,10,0
5/3/2024,25,29.2,26,94,7.9,5.3
5/4/2024,24.8,32.3,29,76,11.9,0
5/5/2024,24.9,30.6,27.5,84,21.3,4.8
5/6/2024,24.9,31.9,28.7,77,6,1.8
